Acronym	Official Name	Start Date	End Date	Talk Deadline	Registration Deadline	Abstract Deadline	Poster Deadline	Location	URL	Source
FiO+LS 2025	Frontiers in Optics + Laser Science 2025	2025-10-27	2025-10-30	TBC	TBC			Denver, CO, USA	frontiersinoptics.com/	original list
PIERS-Fall 2025	Photonics & Electromagnetics Research Symposium - Fall	2025-11-04	2025-11-08	TBC	TBC			Chiba, Japan	TBC	original list
ACP 2025	Asia Communications and Photonics Conference 2025	2025-11-05	2025-11-08	2025-08-01	TBC			Jiangsu, China	TBC	original list
IPC 2025	IEEE Photonics Conference 2025	2025-11-09	2025-11-13	TBC	TBC			Singapore	ieee-ipc.org/	original list
OPTIMA 2025	Optical Communication, Photonics, Telecommunications, and Intelligent Machine Applications	2025-12-04	2025-12-05	TBC	TBC			Tashkent, Uzbekistan	TBC	original list
PGC 2025	Photonics Global Conference 2025	2025-12-05	2025-12-08	TBC	TBC			Sanya, China	TBC	original list
ICISCT 2025	International Conference on Information Science and Communications Technologies	2025-12-26	2025-12-27	TBC	TBC			Kathmandu, Nepal	TBC	original list
Photonics West 2026	SPIE Photonics West 2026	2026-01-17	2026-01-22	2025-07-09	TBC			San Francisco, CA, USA	spie.org/photonics-west	original list
QIP 2026	29th Quantum Information Processing Conf	2026-01-26	2026-01-30	2025-09-12	2025-10-10			Riga, Latvia	qip2026.lu.lv/	original list
DPG SAMOP 2026	DPG Frühjahrstagung SAMOP 2026	2026-03-01	2026-03-06	TBC	TBC			Mainz, Germany	mainz26.dpg-tagungen.de	original list
Nanolight Conference 2026	Nanolight Conference 2026	2026-03-02	2026-03-06	TBC	2026-02-15	2025-12-15		Benasque, Spain	http://benasque.org/2026nanolight/	original list
DPG SKM 2026	DPG Frühjahrstagung SKM 2026	2026-03-08	2026-03-13	TBC	TBC			Dresden, Germany	dresden26.dpg-tagungen.de	original list
OFC 2026	Optical Fiber Communication Conf 2026	2026-03-15	2026-03-19	TBC	TBC			Los Angeles, CA, USA	ofcconference.org/	original list
APS March Meeting 2026	APS Global Physics Summit 2026	2026-03-16	2026-03-19	2025-10-31	2025-10-31			Denver, CO, USA	march.aps.org/	original list
SPIE Photonics Europe 2026	SPIE Photonics Europe 2026	2026-04-12	2026-04-16	TBC	TBC			Strasbourg, France	spie.org/photonics-europe	original list
IEEE SiPhotonics 2026	IEEE Silicon Photonics Conference 2026	2026-04-13	2026-04-15	2025-10-03	TBC			Ottawa, Ontario, Canada	ieee-siphotonics.org/	original list
IEEE QPAIN 2026	IEEE 2nd International Conference on Quantum Photonics, AI & Networking	2026-04-16	2026-04-18	TBC	TBC			Bangladesh	TBC	original list
InP Webinar	Webinar on InP platform for applications in the NIR and MIR wavelengths	2026-04-17	2026-04-17	TBC	TBC			Online	https://inphomir.eu/1st-webinar/	image table
EFTF	European Frequency and Time Forum	2026-04-20	2026-04-23	TBC	TBC			Noordwijk, The Netherlands	https://www.eftf.org/home	image table
SPIE Defense + Security 2026	SPIE Defense + Security 2026	2026-04-26	2026-04-30	TBC	TBC			National Harbor, MD, USA	spie.org/defense-and-commercial-sensing	original list
BQIT	Bristol Quantum Information Technologies	2026-04-27	2026-04-29	TBC	TBC			Bristol, UK	https://www.bristol.ac.uk/qet-labs/events/bqit-workshop/	original list
QUANTU	QUANTUMatter2026	2026-04-27	2026-04-30	2026-02-11	2026-03-06	2026-02-23		Barcelona, Spain	https://www.quantumconf.eu/2026/	original list
AMPD	Annual Meeting Photonic Devices	2026-04-28	2026-04-30	TBC	TBC			TBC	https://www.zib.de/workshop-photonic-devices/	original list
CLEO 2026	Conference on Lasers and Electro-Optics 2026	2026-05-17	2026-05-21	2025-11-18	TBC			Charlotte, NC, USA	cleoconference.org/	original list
Photonics North 2026	Photonics North 2026	2026-06-01	2026-06-04	TBC	TBC			TBC	TBC	original list
DAMOP 2026	57th APS Division AMO Physics Meeting	2026-06-01	2026-06-05	TBC	TBC			Providence, RI, USA	aps.org/events/2026/damop-meeting-2026	original list
SPIE Photonics for Quantum	SPIE Photonics for Quantum	2026-06-08	2026-06-11	March 2026	2026-01-21			Waterloo, ON, Canada	spie.org/conferences-and-exhibitions/photonics-for-quantum	original list
ISLC 2026	30th International Semiconductor Laser Conference	2026-06-14	2026-06-17	2025-11-15	TBC			Tampere, Finland	events.tuni.fi/islc2026/	original list
ICAP	International Conference on Atomic Physics	2026-06-14	2026-06-19	TBC	TBC			Wuhan, China	https://www.icap29.com/home.html	original list
ECIO 2026	European Conf Integrated Optics 2026	2026-06-15	2026-06-17	TBC	2026-03-31			Zürich, Switzerland	ecio-conference.org/	original list
Optica Quantum 2.0 2026	Optica Quantum 2.0 Conference 2026	2026-06-15	2026-06-18	TBC	2026-02-10			Glasgow, UK	https://www.optica.org/events/topical_meetings/quantum/	original list
ICOP	Italian Conference on Optics and Photonics	2026-06-15	2026-06-17	TBC	TBC			L'Aquila, Italy	https://www.icop2026.it/	image table
CCW London	Critical Communications World London	2026-06-16	2026-06-18	TBC	TBC			London, UK	https://www.critical-communications-world.com/call-for-content	image table
Benasque QSI 2026	Quantum Science: Implementations 2026	2026-06-21	2026-07-04	TBC	TBC			Benasque, Spain	benasque.org/	original list
EGAS	Conference of European Group on Atomic Systems	2026-06-21	2026-06-25	TBC	TBC			Toruń, Poland	https://egas57.org/	image table
Quantum.Tech World	Quantum.Tech World	2026-06-25	2026-06-26	TBC	TBC			Boston, USA	https://www.alphaevents.com/events-quantumtechus	image table
OECC 2026	31st OptoElectronics and Communications Conference	2026-06-28	2026-07-02	TBC	TBC			Busan, South Korea	TBC	original list
Quantum Korea	Quantum Korea	2026-07-02	2026-07-04	TBC	TBC			Seoul, Korea	https://quantum-korea.kr/en/main	image table
Single Photon Workshop 2026	12th Single Photon Workshop	2026-07-06	2026-07-10	TBC	TBC			Naples, Italy	spw2026.org/	original list
ICTON 2026	26th Intl Conf Transparent Optical Networks	2026-07-12	2026-07-16	TBC	TBC			Prague, Czech Republic	https://www.gov.pl/web/instytut-lacznosci/icton-2026	original list
IEEE SUM 2026	IEEE Summer Topicals Meeting Series 2026	2026-07-13	2026-07-15	TBC	TBC			Tulum, Mexico	ieee-sum.org/	original list
APC	Optica Advanced Photonics Congress	2026-07-26	2026-07-30	TBC	TBC			TBC	https://www.optica.org/events/congress/advanced_photonics_congress/	original list
IEEE RAPID 2026	IEEE Research and Applications of Photonics in Defense 2026	2026-08-05	2026-08-07	TBC	TBC			Miramar Beach, FL, USA	ieee-rapid.org/	original list
SPIE Optics+Photonics 2026	SPIE Optics + Photonics 2026	2026-08-23	2026-08-27	TBC	TBC			San Diego, CA, USA	spie.org/optics-and-photonics	original list
QCrypt 2026	QCrypt 2026	2026-08-24	2026-08-28	TBC	TBC			Ottawa, Canada	qcrypt.net/2025/2026/	original list
EOSAM 2026	European Optical Society Annual Meeting	2026-08-24	2026-08-28	TBC	TBC			Tampere, Finland	https://www.europeanoptics.org/events/eos/eosam2026.html	image table
ASC 2026	Applied Superconductivity Conference 2026	2026-09-06	2026-09-11	TBC	TBC			Pittsburgh, PA, USA	appliedsuperconductivity.org/asc2026/	original list
INPHOMIR School	INPHOMIR School	2026-09-07	2026-09-11	TBC	TBC			Bari, Italy	https://inphomir.eu/inphomir-school-program/	image table
ECOC 2026	European Conf Optical Communication 2026	2026-09-20	2026-09-24	TBC	TBC			Málaga, Spain	ecocexhibition.com/	original list
MNE 2026	International Conference on Micro and Nano Engineering	2026-09-21	2026-09-24	TBC	TBC			Interlaken, Switzerland	https://mne2026.imnes.org/	image table
FiO+LS 2026	Frontiers in Optics + Laser Science 2026	2026-09-27	2026-09-30	TBC	TBC			Rochester, NY, USA	frontiersinoptics.com/	original list
HDQS 2026	High-Dimensional Quantum Systems Workshop	2026-10-04	2026-10-09	TBC	TBC			Benasque, Spain	https://benasque.org/2026hdqs/	image table
Photonics Days	Photonics Days Berlin	2026-10-07	2026-10-08	TBC	TBC			Berlin, Germany	https://photonic-days-berlin.com/	image table
IPC 2026	IEEE Photonics Conference 2026	2026-11-08	2026-11-12	TBC	TBC			Denver, CO, USA	ieee-ipc.org/	original list
EQTC	European Quantum Technologies Conference	2026-11-29	2026-12-03	TBC	TBC			Dublin, Ireland	https://qt.eu/events/eqtc-2026-european-quantum-technologies-conference	image table
DPG SAMOP 2027	DPG Frühjahrstagung SAMOP 2027	2027-02-28	2027-03-05	TBC	TBC			Hannover, Germany	dpg-physik.de/	original list
SPIE Optics+Optoelectronics	SPIE Optics + Optoelectronics	2027-04-05	2027-04-08	TBC	TBC			Prague, Czech Republic	TBC	original list
CLEO-Europe/EQEC 2027	CLEO/Europe-EQEC 2027	2027-06-21	2027-06-25	TBC	TBC			Munich, Germany	cleoeurope.org/	original list
IEEE RAPID 2027	IEEE Research and Applications of Photonics in Defense 2027	2027-08-11	2027-08-13	TBC	TBC			Miramar Beach, FL, USA	ieee-rapid.org/	original list
IPC 2027	IEEE Photonics Conference 2027	2027-11-10	2027-11-14	TBC	TBC			Eindhoven, Netherlands	ieee-ipc.org/	original list
Photonics in Switching	Photonics in Switching/IEEE Summer Topicals	2026-07	TBC	TBC	TBC			TBC	TBC	original list
It-fab School	It-fab (Italian Network for Micro and Nano Fabrication) School	2026-10	TBC	TBC	TBC			TBC	TBC	image table
OPIC	Optics & Photonics Intl Congress	TBC	TBC	TBC	TBC			TBC	TBC	original list
OWTNM	Optical Wave & Waveguide Theory Modelling	TBC	TBC	TBC	TBC			TBC	TBC	original list
OPON 2025	OPON 2025 Münster	TBC	TBC	TBC	TBC			Münster, Germany	TBC	original list
NRW NanoConference 2026	NRW NanoConference	TBC	TBC	TBC	TBC			North Rhine-Westphalia, DE	TBC	original list
ICQE	International Conference on Quantum Energy 2027	TBC	TBC	TBC	TBC			TBC	TBC	original list
