id	name	acronym	type	topic_tags	start_date	end_date	location	abstract_deadline	paper_deadline	registration_deadline	early_bird_deadline	website	relevance_score	relevance_note	status	last_verified	last_change	source_urls
ipc-2025	IEEE Photonics Conference 2025	IPC 2025	Conference	integrated quantum photonics;photonic integrated circuits;silicon photonics	2025-11-09	2025-11-13	Singapore	TBA	TBA	TBA	TBA	https://ieee-ipc.org/	4	IEEE flagship photonics devices and integrated systems conference	archived	2026-05-13	year roll-over from 2025 edition	https://ieee-ipc.org/
optima-2025	Optical Communication, Photonics, Telecommunications, and Intelligent Machine Applications	OPTIMA 2025	Conference	photonic integrated circuits	2025-12-04	2025-12-05	Tashkent, Uzbekistan	TBA	TBA	TBA	TBA	TBA	2	Regional optics/photonics conference; limited quantum scope	archived	2026-05-13	year roll-over from 2025 edition	original list
pgc-2025	Photonics Global Conference 2025	PGC 2025	Conference	photonic integrated circuits;nanophotonics	2025-12-05	2025-12-08	Sanya, China	TBA	TBA	TBA	TBA	TBA	2	Asia-Pacific photonics conference; some PIC tracks	archived	2026-05-13	year roll-over from 2025 edition	original list
icisct-2025	International Conference on Information Science and Communications Technologies	ICISCT 2025	Conference	quantum communication	2025-12-26	2025-12-27	Kathmandu, Nepal	TBA	TBA	TBA	TBA	TBA	2	Broad ICT conference; limited photonics scope	archived	2026-05-13	year roll-over from 2025 edition	original list
photonics-west-2026	SPIE Photonics West 2026	PW 2026	Conference	integrated quantum photonics;silicon photonics;nonlinear optics;single-photon sources	2026-01-17	2026-01-22	San Francisco, CA, USA	2025-07-09	TBA	TBA	TBA	https://spie.org/photonics-west	5	SPIE flagship with Quantum West and Si-photonics tracks	archived	2026-05-13	year roll-over; Photonics West 2027 now announced (Jan 30–Feb 4)	https://spie.org/photonics-west
qip-2026	29th Quantum Information Processing Conference	QIP 2026	Conference	quantum communication;quantum computing hardware;quantum networking	2026-01-26	2026-01-30	Riga, Latvia	2025-09-12	2025-10-10	TBA	TBA	https://qip2026.lu.lv/	4	Premier quantum information conference; networking and photonic hardware sessions	archived	2026-05-13	year roll-over; QIP 2027 Singapore announced	https://qip2026.lu.lv/
dpg-samop-2026	DPG Frühjahrstagung SAMOP 2026	DPG SAMOP 2026	Conference	quantum optics;nanophotonics;integrated quantum photonics	2026-03-01	2026-03-06	Mainz, Germany	TBA	TBA	TBA	TBA	https://mainz26.dpg-tagungen.de	4	German physics society AMO/photonics spring meeting — easily accessible from Münster	archived	2026-05-13	year roll-over; DPG SAMOP 2027 Hannover announced	https://mainz26.dpg-tagungen.de
nanolight-2026	Nanolight Conference 2026	Nanolight 2026	Conference	nanophotonics;2D-material photonics;quantum optics;plasmonics	2026-03-02	2026-03-06	Benasque, Spain	2025-12-15	n/a	2026-02-15	n/a	https://benasque.org/2026nanolight/	5	European nanophotonics / near-field / 2D-material flagship	archived	2026-05-13	year roll-over	https://benasque.org/2026nanolight/
dpg-skm-2026	DPG Frühjahrstagung SKM 2026	DPG SKM 2026	Conference	silicon photonics;nanophotonics;2D-material photonics	2026-03-08	2026-03-13	Dresden, Germany	TBA	TBA	TBA	TBA	https://dresden26.dpg-tagungen.de	3	Condensed matter sessions on photonics materials and devices	archived	2026-05-13	year roll-over	https://dresden26.dpg-tagungen.de
ofc-2026	Optical Fiber Communication Conference 2026	OFC 2026	Conference	photonic integrated circuits;silicon photonics;quantum communication	2026-03-15	2026-03-19	Los Angeles, CA, USA	TBA	TBA	TBA	TBA	https://ofcconference.org/	4	World's largest optical comms conference with PIC and quantum networking sessions	archived	2026-05-13	year roll-over; OFC 2027 Los Angeles Mar 7-11 announced	https://ofcconference.org/
aps-march-2026	APS Global Physics Summit 2026	APS 2026	Conference	quantum optics;quantum computing hardware;integrated quantum photonics	2026-03-16	2026-03-20	Denver, CO, USA	2025-10-31	2025-10-31	TBA	TBA	https://summit.aps.org/	4	Largest physics meeting; major quantum photonics and computing sessions	archived	2026-05-13	year roll-over; confirmed as joint March+April Global Physics Summit; APS 2027 Atlanta Apr 11-16	https://summit.aps.org/; https://march.aps.org/
spie-pe-2026	SPIE Photonics Europe 2026	SPIE PE 2026	Conference	integrated quantum photonics;silicon photonics;nanophotonics	2026-04-12	2026-04-16	Strasbourg, France	TBA	TBA	TBA	TBA	https://spie.org/photonics-europe	5	Major European SPIE photonics conference with quantum integrated sessions	archived	2026-05-13	year roll-over	https://spie.org/photonics-europe
ieee-siphotonics-2026	IEEE Silicon Photonics Conference 2026	IEEE SiPho 2026	Conference	silicon photonics;photonic integrated circuits;III-V on Si	2026-04-13	2026-04-15	Ottawa, ON, Canada	2025-10-03	TBA	TBA	TBA	https://ieee-siphotonics.org/	5	Dedicated silicon photonics conference — direct relevance to PICs	archived	2026-05-13	year roll-over	https://ieee-siphotonics.org/
ieee-qpain-2026	IEEE 2nd International Conference on Quantum Photonics, AI & Networking	IEEE QPAIN 2026	Conference	integrated quantum photonics;quantum networking	2026-04-16	2026-04-18	Chattogram, Bangladesh	TBA	TBA	TBA	TBA	https://qpain.org/	3	Quantum photonics and networking conference (IEEE-sponsored)	archived	2026-05-13	year roll-over	https://qpain.org/
inp-webinar-2026	Webinar on InP platform for NIR and MIR applications	InP Webinar	Seminar	photonic integrated circuits;III-V on Si	2026-04-17	2026-04-17	Online	TBA	n/a	TBA	n/a	https://inphomir.eu/1st-webinar/	4	III-V InP PIC platform — directly relevant to quantum light-source integration	archived	2026-05-13	year roll-over	https://inphomir.eu/1st-webinar/
eftf-2026	European Frequency and Time Forum 2026	EFTF 2026	Conference	quantum optics;quantum communication	2026-04-20	2026-04-23	Noordwijk, The Netherlands	TBA	TBA	TBA	TBA	https://www.eftf.org/home	2	Frequency/time standards; quantum photonic metrology peripherally relevant	archived	2026-05-13	year roll-over	https://www.eftf.org/home
spie-ds-2026	SPIE Defense + Security 2026	SPIE D+S 2026	Conference	single-photon sources;quantum communication	2026-04-26	2026-04-30	National Harbor, MD, USA	TBA	TBA	TBA	TBA	https://spie.org/defense-and-commercial-sensing	2	Defense photonics with some single-photon sensing sessions	archived	2026-05-13	year roll-over	https://spie.org/defense-and-commercial-sensing
bqit-2026	Bristol Quantum Information Technologies Workshop 2026	BQIT 2026	Workshop	integrated quantum photonics;quantum communication;quantum computing hardware	2026-04-27	2026-04-29	Bristol, UK	TBA	n/a	TBA	n/a	https://www.bristol.ac.uk/qet-labs/events/bqit-workshop/	5	UK quantum photonics workshop — PICs, single photons, quantum networking	archived	2026-05-13	year roll-over	https://www.bristol.ac.uk/qet-labs/events/bqit-workshop/
quantumatter-2026	QUANTUMatter 2026	QUANTU 2026	Conference	quantum computing hardware;quantum optics;nanophotonics	2026-04-27	2026-04-30	Barcelona, Spain	2026-02-11	n/a	2026-03-06	2026-02-23	https://www.quantumconf.eu/2026/	3	Quantum materials and devices, including photonic quantum systems	archived	2026-05-13	year roll-over	https://www.quantumconf.eu/2026/
ampd-2026	Annual Meeting Photonic Devices 2026	AMPD 2026	Conference	photonic integrated circuits;nanophotonics	2026-04-28	2026-04-30	TBA	TBA	TBA	TBA	TBA	https://www.zib.de/workshop-photonic-devices/	4	German photonic devices annual meeting — directly relevant to group's fabrication work	archived	2026-05-13	year roll-over	https://www.zib.de/workshop-photonic-devices/
cleo-2026	Conference on Lasers and Electro-Optics 2026	CLEO 2026	Conference	integrated quantum photonics;quantum optics;nonlinear optics;silicon photonics;single-photon sources	2026-05-17	2026-05-21	Charlotte, NC, USA	2025-11-18	n/a	TBA	TBA	https://cleoconference.org/	5	Premier US laser/photonics conference; major IQP, Si-PIC and quantum optics sessions	archived	2026-08-16	archived - event has passed	https://cleoconference.org/; https://cleoconference.org/registration-2026/
damop-2026	57th APS Division of Atomic, Molecular and Optical Physics Meeting	DAMOP 2026	Conference	quantum optics;nonlinear optics;single-photon sources	2026-06-01	2026-06-05	Providence, RI, USA	TBA	TBA	TBA	TBA	https://aps.org/events/2026/damop-meeting-2026	3	AMO physics flagship with quantum optics and single-photon sessions	archived	2026-08-16	archived - event has passed	https://aps.org/events/2026/damop-meeting-2026
photonics-north-2026	Photonics North 2026	PN 2026	Conference	silicon photonics;integrated quantum photonics;quantum communication	2026-06-01	2026-06-04	TBA	TBA	TBA	TBA	TBA	TBA	3	Canadian national photonics conference with PIC and quantum sessions	archived	2026-08-16	archived - event has passed	original list
cargese-qt-2026	Summer School on Quantum Technologies for Computation and Communication	QT4CC 2026	Summer School	quantum communication;quantum computing hardware;quantum networking	2026-06-08	2026-06-20	Cargèse (Corsica), France	TBA	n/a	TBA	n/a	https://qt4cc.sciencesconf.org/	4	PhD summer school on quantum computation and communication — ideal for group's PhD students	archived	2026-08-16	archived - event has passed	https://qt4cc.sciencesconf.org/; https://gdr-teq.cnrs.fr/cevent/629/
spie-pfq-2026	SPIE Photonics for Quantum 2026	PfQ 2026	Conference	integrated quantum photonics;single-photon sources;quantum communication;quantum computing hardware	2026-06-08	2026-06-11	Waterloo, ON, Canada	2026-03-01	n/a	TBA	TBA	https://spie.org/conferences-and-exhibitions/photonics-for-quantum	5	Dedicated quantum photonics conference — bullseye for AG Schuck	archived	2026-08-16	archived - event has passed	https://spie.org/PFQ26/conferencedetails/photonics-for-quantum
islc-2026	30th International Semiconductor Laser Conference	ISLC 2026	Conference	single-photon sources;III-V on Si;photonic integrated circuits	2026-06-14	2026-06-17	Tampere, Finland	2026-02-05	TBA	TBA	TBA	https://events.tuni.fi/islc2026/	4	III-V semiconductor laser conference — key for quantum light source development	archived	2026-08-16	archived - event has passed	https://events.tuni.fi/islc2026/; https://ieeephotonics.org/event/2026-30th-international-semiconductor-laser-conference-islc/
grc-quantum-science-2026	Gordon Research Conference — Quantum Science 2026	GRC QS 2026	Conference	quantum optics;quantum computing hardware;quantum communication;integrated quantum photonics	2026-06-14	2026-06-19	Easton, MA, USA	TBA	n/a	2026-06-28	n/a	https://www.grc.org/quantum-science-conference/2026/	4	GRC on quantum science covering photonic quantum systems and quantum information	archived	2026-08-16	archived - event has passed	https://www.grc.org/quantum-science-conference/2026/
icap-2026	29th International Conference on Atomic Physics	ICAP 2026	Conference	quantum optics;nonlinear optics	2026-06-14	2026-06-19	Wuhan, China	TBA	TBA	TBA	TBA	https://www.icap29.com/home.html	3	Atomic physics conference with quantum optics and light-matter interaction sessions	archived	2026-08-16	archived - event has passed	https://www.icap29.com/home.html
ecio-2026	European Conference on Integrated Optics 2026	ECIO 2026	Conference	integrated quantum photonics;photonic integrated circuits;silicon photonics;nanophotonics	2026-06-15	2026-06-17	Zürich, Switzerland	TBA	TBA	2026-06-01	2026-05-11	https://ecio-conference.org/	5	Largest European integrated optics conference — core relevance for AG Schuck	archived	2026-08-16	archived - event has passed	https://www.ecio-conference.org/; https://www.ecio-conference.org/deadlines/
optica-quantum-2026	Optica Quantum 2.0 Conference and Exhibition 2026	Optica Quantum 2026	Conference	integrated quantum photonics;quantum optics;single-photon sources;quantum communication;quantum computing hardware	2026-06-15	2026-06-18	Glasgow, UK	2026-02-10	n/a	2026-05-29	n/a	https://www.optica.org/events/topical_meetings/quantum/	5	Premier quantum photonics conference spanning PICs, detectors, QKD, and hardware	archived	2026-08-16	archived - event has passed	https://www.optica.org/events/topical_meetings/quantum/; https://www.optica.org/events/topical_meetings/quantum/registration/
icop-2026	Italian Conference on Optics and Photonics 2026	ICOP 2026	Conference	integrated quantum photonics;quantum optics;nanophotonics	2026-06-15	2026-06-17	L'Aquila, Italy	TBA	TBA	TBA	TBA	https://www.icop2026.it/	3	Italian national photonics conference with quantum tracks	archived	2026-08-16	archived - event has passed	https://www.icop2026.it/
ccw-london-2026	Critical Communications World London 2026	CCW 2026	Conference	quantum communication;quantum networking	2026-06-16	2026-06-18	London, UK	TBA	TBA	TBA	TBA	https://www.critical-communications-world.com/	2	Critical comms industry event; QKD sessions of marginal relevance	archived	2026-08-16	archived - event has passed	https://www.critical-communications-world.com/call-for-content
egas-2026	57th Conference of the European Group on Atomic Systems	EGAS 2026	Conference	quantum optics;nonlinear optics	2026-06-21	2026-06-25	Toruń, Poland	TBA	TBA	TBA	TBA	https://egas57.org/	3	European atomic systems conference with quantum optics and light-matter sessions	archived	2026-08-16	archived - event has passed	https://egas57.org/
benasque-qsi-2026	Quantum Science: Implementations 2026	Benasque QSI	Workshop	integrated quantum photonics;quantum computing hardware;quantum communication	2026-06-21	2026-07-04	Benasque, Spain	TBA	n/a	TBA	n/a	https://benasque.org/	4	Benasque workshop on quantum implementations including photonic platforms	archived	2026-08-16	archived - event has passed	https://benasque.org/; https://www.benasque.org/new_general/cgi-bin/years.pl?ano=2026
les-houches-pa-2026	Photons & Atoms 2026 — Les Houches Doctoral School	Les Houches PA 2026	Summer School	quantum optics;nonlinear optics;integrated quantum photonics;single-photon sources	2026-06-22	2026-07-03	Les Houches, France	TBA	n/a	TBA	n/a	https://photon-atoms-26.leshouches.science/	5	Leading European doctoral school on photons, quantum gases and quantum technologies	archived	2026-08-16	archived - event has passed	https://photon-atoms-26.leshouches.science/; https://first-tf.com/doctoral-training-on-atoms-and-photons-ecole-de-physique-des-houches-france-june-22nd-to-july-3rd-2026/
iqt-nordics-2026	IQT Nordics 2026 — Quantum Technology in a Changing World	IQT Nordics 2026	Conference	quantum communication;quantum computing hardware;integrated quantum photonics	2026-06-22	2026-06-24	Oslo, Norway	TBA	n/a	TBA	TBA	https://iqtevent.com/nordics/	3	Nordic quantum industry conference with hardware and QKD sessions	archived	2026-08-16	archived - event has passed	https://iqtevent.com/nordics/; https://www.oslomet.no/en/about/events/iqt-nordics-2026
quantum-tech-world-2026	Quantum.Tech World 2026	Q.Tech World 2026	Conference	quantum computing hardware;quantum communication;integrated quantum photonics	2026-06-25	2026-06-26	Boston, MA, USA	TBA	n/a	TBA	TBA	https://www.alphaevents.com/events-quantumtechus	2	Industry quantum technology event; limited deep-science content	archived	2026-08-16	archived - event has passed	https://www.alphaevents.com/events-quantumtechus
oecc-2026	31st OptoElectronics and Communications Conference	OECC 2026	Conference	photonic integrated circuits;silicon photonics;quantum communication	2026-06-28	2026-07-02	Busan, South Korea	TBA	TBA	TBA	TBA	TBA	3	Asia-Pacific optoelectronics and comms conference with PIC sessions	archived	2026-08-16	archived - event has passed	original list
quantum-korea-2026	Quantum Korea 2026	Quantum Korea 2026	Conference	quantum computing hardware;quantum communication;integrated quantum photonics	2026-07-02	2026-07-04	Seoul, South Korea	TBA	n/a	TBA	TBA	https://quantum-korea.kr/en/main	2	Government-organised Korean quantum technology showcase	archived	2026-08-16	archived - event has passed	https://quantum-korea.kr/en/main
spw-2026	12th Single Photon Workshop	SPW 2026	Workshop	single-photon sources;SNSPDs;quantum optics;quantum communication	2026-07-06	2026-07-10	Naples, Italy	TBA	n/a	TBA	TBA	https://spw2026.org/	5	THE dedicated single-photon workshop — central to AG Schuck's detector and source work	archived	2026-08-16	archived - event has passed	https://spw2026.org/; https://iqnhub.org/2026-single-photon-workshop-registration-open/
icton-2026	26th International Conference on Transparent Optical Networks	ICTON 2026	Conference	photonic integrated circuits;silicon photonics;quantum communication	2026-07-12	2026-07-16	Prague, Czech Republic	TBA	TBA	TBA	TBA	https://www.gov.pl/web/instytut-lacznosci/icton-2026	3	Transparent optical networks with PIC and quantum photonics tracks	archived	2026-08-16	archived - event has passed	https://www.gov.pl/web/instytut-lacznosci/icton-2026
ieee-sum-2026	IEEE Summer Topicals Meeting Series 2026	IEEE SUM 2026	Conference	photonic integrated circuits;silicon photonics;integrated quantum photonics	2026-07-13	2026-07-15	Tulum, Mexico	TBA	TBA	TBA	TBA	https://ieee-sum.org/	3	IEEE focused topical photonics sessions	archived	2026-08-16	archived - event has passed	https://ieee-sum.org/
grc-plasmonics-nano-2026	Gordon Research Conference — Plasmonics and Nanophotonics 2026	GRC PNP 2026	Conference	nanophotonics;plasmonics;quantum optics;2D-material photonics	2026-07-19	2026-07-24	Newry, ME, USA	TBA	n/a	2026-06-21	n/a	https://www.grc.org/plasmonics-and-nanophotonics-conference/2026/	5	GRC on quantum nanophotonics, plasmonics and 2D photonics — highly relevant to AG Schuck	archived	2026-08-16	archived - event has passed	https://www.grc.org/plasmonics-and-nanophotonics-conference/2026/
cewqo-2026	30th Central European Workshop on Quantum Optics	CEWQO30 2026	Workshop	quantum optics;single-photon sources;nonlinear optics;integrated quantum photonics	2026-07-20	2026-07-24	Erlangen, Germany	TBA	n/a	TBA	n/a	https://www.lightmatter.fau.de/2026/04/cewqo30-the-30th-central-european-workshop-on-quantum-optics-2026/	5	European quantum optics workshop co-hosted by FAU/MPL Erlangen — close to Münster	archived	2026-08-16	archived - event has passed	https://www.lightmatter.fau.de/2026/04/cewqo30-the-30th-central-european-workshop-on-quantum-optics-2026/; https://www.oqt.nat.fau.de/events/
apc-2026	Optica Advanced Photonics Congress 2026	APC 2026	Conference	integrated quantum photonics;nonlinear optics;nanophotonics	2026-07-26	2026-07-30	TBA	TBA	TBA	TBA	TBA	https://www.optica.org/events/congress/advanced_photonics_congress/	4	Optica congress including nonlinear photonics, waveguides and integrated circuits	archived	2026-08-16	archived - event has passed	https://www.optica.org/events/congress/advanced_photonics_congress/
grc-mech-quant-2026	Gordon Research Conference — Mechanical Systems in the Quantum Regime 2026	GRC MSQR 2026	Conference	optomechanics;quantum computing hardware	2026-07-26	2026-07-31	Lucca (Barga), Italy	TBA	n/a	TBA	n/a	https://www.grc.org/mechanical-systems-in-the-quantum-regime-conference/2026/	4	Optomechanics GRC — relevant to cavity-optomechanical quantum transducers	archived	2026-08-16	archived - event has passed	https://www.grc.org/mechanical-systems-in-the-quantum-regime-conference/2026/
lake-como-ufqp-2026	New Frontiers in Ultrafast Quantum Optics — Lake Como School	UFQP 2026	Summer School	quantum optics;nonlinear optics;single-photon sources	2026-07-27	2026-07-31	Como, Italy	2026-05-31	n/a	TBA	n/a	https://ufqp.lakecomoschool.org/	4	Summer school on ultrafast quantum optics — photon correlations and time-frequency entanglement	archived	2026-08-16	archived - event has passed	https://ufqp.lakecomoschool.org/; https://www.quantiki.org/conference/summer-school-new-frontiers-ultrafast-quantum-optics
ieee-rapid-2026	IEEE Research and Applications of Photonics in Defense 2026	IEEE RAPID 2026	Conference	single-photon sources;quantum communication	2026-08-05	2026-08-07	Miramar Beach, FL, USA	TBA	TBA	TBA	TBA	https://ieee-rapid.org/	2	Defense photonics; some single-photon sensing sessions	archived	2026-08-16	archived - event has passed	https://ieee-rapid.org/
spie-op-2026	SPIE Optics + Photonics 2026	SPIE O+P 2026	Conference	integrated quantum photonics;nanophotonics;quantum optics;single-photon sources	2026-08-23	2026-08-27	San Diego, CA, USA	TBA	TBA	TBA	2026-08-07	https://spie.org/optics-and-photonics	4	SPIE major annual meeting with quantum nanophotonics and quantum technologies tracks	cfp_closed	2026-08-16	Early-bird deadline passed Aug 7 (fees +$170 after); post-deadline abstracts still accepted	https://spie.org/optics-and-photonics
qcrypt-2026	QCrypt 2026	QCrypt 2026	Conference	quantum communication;QKD;quantum networking	2026-08-24	2026-08-28	Ottawa, Canada	2026-03-13	2026-05-01	TBA	TBA	https://qcrypt.net/2026/	4	Premier annual QKD and quantum cryptography conference	cfp_closed	2026-08-16	Talk deadline was 2026-03-13, poster deadline 2026-05-01 (both closed); venue: Learning Crossroads (CRX), University of Ottawa; refund cutoff passed	https://qcrypt.net/2026/; https://qcrypt.net/2026/attend/registration/
eosam-2026	European Optical Society Annual Meeting 2026	EOSAM 2026	Conference	integrated quantum photonics;nanophotonics;nonlinear optics	2026-08-24	2026-08-28	Tampere, Finland	2026-04-14	TBA	TBA	2026-06-15	https://www.europeanoptics.org/events/eos/eosam2026.html	4	EOS flagship European photonics meeting with strong quantum photonics programme	cfp_closed	2026-08-16	Abstract deadline 2026-04-14 and early-bird 2026-06-15 both passed; standard registration rate now in effect	https://www.europeanoptics.org/events/eos/eosam2026.html
tqc-2026	Theory of Quantum Computation, Communication and Cryptography 2026	TQC 2026	Conference	quantum communication;quantum computing hardware;quantum networking	2026-08-31	2026-09-04	Sherbrooke, QC, Canada	2026-04-20	TBA	TBA	2026-06-28	https://tqc-conference.org/2026/	3	Theory conference for quantum communication, computation and cryptography	cfp_closed	2026-08-16	Poster deadline 2026-04-20 passed; registration early-bird 2026-06-28 passed; accepted-papers list published	https://tqc-conference.org/2026/
asc-2026	Applied Superconductivity Conference 2026	ASC 2026	Conference	SNSPDs;cryogenic electronics;single-photon sources	2026-09-06	2026-09-11	Pittsburgh, PA, USA	TBA	TBA	TBA	TBA	https://appliedsuperconductivity.org/asc2026/	4	Premier superconductivity conference with major SNSPD and cryogenic electronics sessions	cfp_closed	2026-08-16	Abstract deadline has passed (exact date unconfirmed, ~Jan/Feb 2026); abstract-change cutoff 2026-08-03 also passed	https://appliedsuperconductivity.org/asc2026/
inphomir-school-2026	INPHOMIR Photonics School 2026	INPHOMIR School	Summer School	photonic integrated circuits;III-V on Si	2026-09-07	2026-09-11	Bari, Italy	TBA	n/a	TBA	n/a	https://inphomir.eu/inphomir-school-program/	4	Dedicated InP/III-V photonics school for NIR/MIR applications	upcoming	2026-08-16	No change found; application deadline still not published, check official site directly	https://inphomir.eu/inphomir-school-program/
